Calories,NumberOfMeals,Breakfast,Lunch,Dinner,Snack,Snack2
2753.78,5,Blueberry and Sunflower Seed Steel Cut Oatmeal,Light Raspberry yogurt,Simple Ham and Lettuce Sandwich,Bell Pepper and Hummus Snack,
3104.26,3,High Protein Omelet,Cherry Berry Protein Smoothie,Tuna Salad,,
3104.26,4,Pumpkin Pecan Oatmeal,High Potassium Fruit Salad,Classic Tuna Salad,"Blueberry, Banana, and Strawberry Smoothie",Red Pepper Turkey Roll-ups
3104.26,5,Protein oatmeal pancakes,Plum and Greek Yogurt Snack,Simple Ham and Lettuce Sandwich,Carrots with Hummus,
3454.74,3,Peanut Butter Oatmeal and Berries,"Smoked Salmon, Goat Cheese, & Cucumber Bites",Yogurt Chocolate Banana Shake,,
3454.74,4,Banana and Strawberry Wrap,Honey and Melon Cottage Cheese,Two Bean Salad,Rice Cake with Salmon & Dill Spread,"Flour Tortilla with Peanut Butter, Blackberries, and Honey"
3454.74,5,Pumpkin Pie Spiced Waffles,Yogurt & Cantaloupe,Post-Workout Peanut Butter Shake,Carrots with Hummus,
3805.22,3,Ham and Egg Scramble,Fried Rice,1000 Calorie Shake,,
3805.22,4,Peanut Butter Protein Yogurt,Protein Berry Crumble,Chocolate peanut protein shake,Mexican Street Corn,Strawberry and Almond Butter Fruit Smoothie
3805.22,5,"Bacon, Egg, and Cheese Breakfast Bagel",Peanut Butter and Peach Toast,Blueberry Kale Salad,Yogurt with Grapefruit & Honey,
1641.25,3,Caprese Eggs and Portabella Mushrooms,Peach and Peanut Butter Snack,Chicken Celery Sticks,,
1641.25,4,Zucchini Hash,Peanut Butter and Peach Toast,"Greek Yogurt with Berries, Nuts, and Honey",Tomato Basil Layered Salad,Guacamole on Tostada
1641.25,5,Avocado and Salmon Toast,High Potassium Fruit Salad,"Turkey, Cheddar, and Mustard Sandwich",Mediterranean Salad,
1969.5,3,"Egg, Turkey, and Cheese Wrap",Papaya Flaxseed Shake,Cool Summer Cucumber Chicken and Tomato Toss,,
1969.5,4,English Muffin Egg Sandwich,Yogurt & Banana Chips,Strawberry Almond Trim Smoothie,Carrots with Hummus,Rosemary Lemon Grilled Scallops
1969.5,5,Mocha Berry Almond Smoothie,Blackberry Yogurt Parfait,Apple Celery Salad,Peaches & Almond Butter on Toast,
2256.72,3,The Best Keto Breakfast,Orange Dream Protein Smoothie,Red Eye Protein Parfait,,
2256.72,4,"Kale, Sweet Potato, and Onion Frittata",Peach and Peanut Butter Snack,Chocolate Blueberry Protein Shake,Pineapple & Avocado Salad,Sardine Salad Sandwich
2256.72,5,Protein Southwest Scramble,Granola,Sunrise Smoothie,"Cucumbers with Feta, Basil, and Cilantro",
2543,3,Veggie Omelet,Protein Berry Crumble,Oatmeal Banana Peanut Butter Chocolate Shake,,
2543,4,"Egg, Avocado, and Bacon Scramble",Spanish-style Toast with Tomato,Tuna and Avocado Salad,Yogurt & Apricots,
2543,5,"Turkey, Ham, and Avocado on Rye",Yogurt with Walnuts & Honey,Spicy Tuna Salad,Quick Grapefruit,Sun-Dried Tomato Turkey Roll-up
2831.16,3,Smoked Salmon and Egg Tortilla,Yogurt with Grapefruit & Honey,Tuna Stuffed Tomato,,
2831.16,4,Omelet with Cheese and Spinach,Cinnamon Apple Delight,Quick Avocado Tuna Sandwich,Peanut Butter & Carrots,Sun-Dried Tomato Turkey Rollups
2831.16,5,Egg with Bacon and Brussel Sprout Hash,Yogurt & Mango,Tropical Green Protein Smoothie,Lettuce Cucumber Walnut Salad,
3118.38,3,"Ham, Egg, and Spinach Roll-Ups","Lemon, Berry, Honey Smoothie",Apple Walnut Parfait,,
3118.38,4,Post-Workout Peanut Butter Shake,Vegan Breakfast Potatoes,Simple Ham and Lettuce Sandwich,Yogurt with Almonds & Honey,Red Pepper Turkey Roll-ups
3118.38,5,Blueberry Oatmeal,Light Nectarine Yogurt,Strawberry Banana Protein Shake,Sundried Tomato and Avocado Chopped Salad,
1429,3,Peanut Butter Protein Oats,Banana,Cucumber Tomato Salad with Tuna,,
1429,4,Avocado & Tomato Toast,Cinnamon Honey Cottage Cheese,Yogurt with Avocado & Basil,Blueberries,"Toast with Tomato, Onion, & Hummus"
1429,5,"Turkey, Ham, and Avocado on Rye",Buttered Toast,Avocado Chickpea Lettuce Wraps,Cherry Tomatoes with Feta,
1714.8,3,Cinnamon Apple Protein Oatmeal,Bacon,Tropical Green Protein Smoothie,,
1714.8,4,Cinnamon Apple Protein Oatmeal,Bacon,Tropical Green Protein Smoothie,Brussels Sprout Slaw,Avocado lettuce wrap
1714.8,5,Avocado-egg Toast,Light Nectarine Yogurt,Mexican Cottage Cheese Salad,Avocado Coleslaw,
1964.88,3,Cinnamon Raisin Protein Oatmeal,Peaches & Almond Butter on Toast,Tuna and Hummus,,
1964.88,4,Protein Silver Dollar Blueberry Pancakes,Pecans,"Chocolate, Avocado, and Strawberry Smoothie",Yogurt with Matcha & Toasted Coconut,"Turkey, Ham, and Avocado on Rye"
1964.88,5,"Cream Cheese, Lox, and Capers English Muffin",Peanut Butter and Peach Toast,"Turkey, corn and tomato wrap",Plum and Greek Yogurt Snack,
2214.95,3,Protein Southwest Scramble,"Toast with Cantaloupe, Walnuts, Agave & Goat Cheese",Paleo Avocado Tuna Salad (Tuna in Oil),,
2214.95,4,Scrambled Eggs and Broccoli,Whey Chocolate Shake,Greek Yogurt and Berry Parfait,Black Olives with Cheddar,Sardine Salad Sandwich
2214.95,5,Peanut Butter & Banana Oatmeal,Blueberry Yogurt,Quick Buffalo Chicken Salad,"Strawberry, Peach, and Chia Smoothie",
2465.03,3,Garlic Egg Omelet,Strawberry and Almond Butter Fruit Smoothie,Simple Ham and Lettuce Sandwich,,
2465.03,4,Mocha Berry Almond Smoothie,Microwave Poached Eggs,Cucumber Tomato Salad with Tuna,"Flour Tortilla with Peanut Butter, Blackberries, and Honey","Cream Cheese, Lox, and Capers English Muffin"
2465.03,5,Peanut Butter Protein Oats,Peaches and Almond Butter on Toast,Tuna with Avocado,Yogurt with Matcha & Toasted Coconut,
2715.1,3,Ham and Egg Scramble,Apple Slice Sandwich,Tangy Tuna Wrap,,
2715.1,4,"Bacon, Egg, and Tomato Club Sandwiches",Yogurt & Pineapple,Chocolate PB & Banana Protein Shake,Cabbage Cucumber Salad,"Flour Tortilla with Peanut Butter, Blackberries, and Honey"
2715.1,5,Hard Boiled Egg and Avocado Bowl,Very Berry Cottage Cheese,Peach and Blueberry Parfait,Mixed Greens with Sliced Cucumber and Avocado,
2001.25,3,Egg with Bacon and Brussel Sprout Hash,Yogurt & Banana,Tropical Green Protein Smoothie,,
2001.25,4,Breakfast Greek Yogurt Delight,Cinnamon Apple Bites,Turkey Veggie Hummus Wrap,Lebanese Fresh Thyme Tomato Salad,Peach and Peanut Butter Snack
2001.25,5,Avocado-egg Toast,Yogurt & Mango,Greens and Raspberry Protein Smoothie,Spinach and Broccoli Salad,
2401.5,3,Peanut Butter Banana Toast,Yogurt with Almonds & Honey,Tuna Salad,,
2401.5,4,"Egg, Avocado, and Bacon Scramble","Toast with Pear, Cottage Cheese, and Honey",PB&J Smoothie,Mixed Greens with Sliced Cucumber and Avocado,Yogurt with Avocado & Basil
2401.5,5,Peanut Butter Berry Pineapple Protein Smoothie,"Toast with Tomato, Onion, & Hummus",Kale White Bean and Pesto Salad,Maple Pumpkin Cottage Cheese,
2751.72,3,Apple Sandwiches with Almond Butter & Granola,Protein-boosted Honey Yogurt,Mocha Berry Almond Smoothie,,
2751.72,4,Protein Banana Egg Pancakes,Apples and Almond Butter,Red Eye Protein Parfait,Avocado Rice Cake,Sardine Salad Sandwich
2751.72,5,Broccoli with Sesame Egg Ribbons,Yogurt & Applesauce,Tuna Avocado Salad,Smoked Almond Cottage Cheese Endive Bites,
3101.94,3,Creamy Green Chia Smoothie,Rice Cake with Peanut Butter and Chocolate Chips,Cream Cheese Turkey Rollups,,
3101.94,4,Red Pepper Avocado Toast,Protein-boosted Yogurt,Blueberry Almond Butter Protein Smoothie,Peppers Cucumber & Avocado Salad,Tuna-Avocado Sandwich
3101.94,5,Broccoli with Sesame Egg Ribbons,Very Berry Cottage Cheese,Apple Walnut Parfait,Spinach Tomato Salad,
3452.16,3,Avocado and Egg Toast,Sweet Cottage Cheese & Blue Berries,Chocolate and Banana Kefir Smoothie,,
3452.16,4,Pesto Breakfast Sandwich,Protein Berry Crumble,Raspberries and Blackberries Protein Smoothie,Rice Cake with Peanut Butter and Chocolate Chips,Paleo Avocado Tuna Salad (Tuna in Water)
3452.16,5,Bacon Breakfast Tacos,Brie cheese on bread,Red Eye Protein Parfait,Peach and Peanut Butter Snack,
3802.38,3,Chocolate Banana Protein Pancakes,Yogurt & Strawberries,Banana oatmeal smoothie,,
3802.38,4,Chicken & Mayo Bagel,Peach and Peanut Butter Snack,Banana Almond Shake,Rice Cake with Peanut Butter and Chocolate Chips,Strawberry Protein Shake
3802.38,5,Pumpkin Pecan Oatmeal,Turkish Style Zucchini Fritters,Salmon Salad,Honey and Melon Cottage Cheese,
1626.5,3,Spinach and Mushroom Eggs,"Toast with Berries, Basil & Cream Cheese",Simple Ham and Lettuce Sandwich,,
1626.5,4,"Spinach, Pepper, and Tomato Scramble on Toast",Microwave Poached Eggs,Cottage Cheese with Dill Tuna,Avocado Citrus Salad with Mint,Carrots with Hummus
1626.5,5,Pumpkin Protein Pancakes,Lime Avocado Milkshake,Corn Tuna Salad,Mixed Greens with Sun-Dried Tomato Dressing,
1951.8,3,Blackberry Yogurt Parfait,"Toast with Tomato, Onion, & Hummus",Simple Ham and Lettuce Sandwich,,
1951.8,4,Onion and Tomato Omelet,Yogurt & Strawberries,Creamy Green Chia Smoothie,Sliced Turkey Pinwheels,Tuna Stuffed Pepper
1951.8,5,Bruleed Banana and Peanut Butter English Muffins,Yogurt & Honeydew Melon,Baby Carrot Banana Smoothie,Peanut Butter & Carrots,
2236.44,3,Protein Yogurt and Blueberries,Apple Toast,"Ham, Mozzarella, and Fig Sandwich on Ciabatta",,
2236.44,4,Strawberry Almond Trim Smoothie,Cinnamon Sugar Toast with Sea Salt,Turkey Veggie Hummus Wrap,Avocado Coleslaw,Post-Workout Banana Protein Smoothie
2236.44,5,Classic Avocado Toast,Cottage Cheese & Apricots,Greek Yogurt with Blue and Blackberries,Peppers Cucumber & Avocado Salad,
2521.08,3,Sausage and Egg Breakfast Sandwich,"Yogurt with Blueberries, Sunflower Seeds, and Honey",Spicy Tuna Salad,,
2521.08,4,Apple Sandwiches with Almond Butter & Granola,Yogurt & Applesauce,Mocha Berry Almond Smoothie,Spinach and Broccoli Salad,Yogurt with Avocado & Basil
2521.08,5,Banana Flax Pancakes,Cinnamon Honey Cottage Cheese,Quick Avocado Tuna Sandwich,Brussels Sprout Slaw,
2805.71,3,Pumpkin Pecan Oatmeal,Light Nectarine Yogurt,Mocha Berry Almond Smoothie,,
2805.71,4,Dark Chocolate Banana Smoothie,Cinnamon Toast,Spicy Tuna Salad,Yogurt with Matcha & Toasted Coconut,Kale Avocado Salad
2805.71,5,Peach and Blueberry Parfait,Pecans,Chocolate Blueberry Protein Shake,Pineapple & Avocado Salad,
3090.35,3,Oatmeal Banana Peanut Butter Chocolate Shake,Toast with Tomato and Hummus,Apple Walnut Parfait,,
3090.35,4,Protein Yogurt and Blueberries,Peaches and Almond Butter on Toast,"Dijon, Dill, and Cottage Cheese Tuna Salad",Rice Cake with Peanut Butter and Chocolate Chips,Tuna & White Bean Salad
3090.35,5,"Kale, Sweet Potato, and Onion Frittata","Peanut Butter, Spinach, and Kale Smoothie",Salmon Salad,Maple Pumpkin Cottage Cheese,
1910,3,"Chocolate, Avocado, and Strawberry Smoothie",Sweet Cottage Cheese & Blue Berries,Tuna & White Bean Salad,,
1910,4,Egg White Frittata,Apple Toast,Tropical Green Protein Smoothie,Thai Cucumber Salad,Almonds and Blueberries Yogurt Snack
1910,5,Mushroom Spinach Omelet Recipe,Peaches & Almond Butter on Toast,Sunrise Smoothie,Cucumber Boats with Spicy Hummus,
2292,3,Fruit yogurt smoothie,Cinnamon Sugar Toast with Sea Salt,Quick Avocado Tuna Sandwich,,
2292,4,Breakfast Greek Yogurt Delight,Avocado Rice Cake,Tuna and Avocado Salad,Edamame Slaw,Curried Popcorn
2292,5,Peanut Butter Protein Yogurt,PB & Dates Energy Bites,Turkey Veggie Hummus Wrap,Cucumber Boats with Spicy Hummus,
2626.25,3,Protein Yogurt and Blueberries,Peanut Butter and Peach Toast,Oatmeal Banana Peanut Butter Chocolate Shake,,
2626.25,4,Hard Boiled Egg and Avocado Bowl,Yogurt & Dried Mango,Strawberry Protein Shake,Spinach and Cranberry Salad,Sardine Salad Sandwich
2626.25,5,Blueberry Oatmeal,Microwave Poached Eggs,Fruit yogurt smoothie,Balsamic Arugula Salad,
2960.5,3,Blueberry Protein Oatmeal,Brie cheese on bread,Raspberry Peanut Butter Protein Smoothie,,
2960.5,4,"Toasted Pita with Gouda, Avocado, and Tomato",Strawberry and Almond Butter Fruit Smoothie,Paleo Avocado Tuna Salad (Tuna in Oil),Yogurt & Strawberries,Peanut Butter Berry Pineapple Protein Smoothie
2960.5,5,Breakfast Greek Yogurt Delight,Classic Fruit Salad,Cilantro Crab & Corn Stuffed Peppers,Cauliflower and Tahini,
3294.75,3,Pumpkin Pecan Oatmeal,Yogurt with Almonds & Honey,Blueberry Shake,,
3294.75,4,Blueberry Protein Oatmeal,Plum and Greek Yogurt Snack,Chocolate PB & Banana Protein Shake,"Avocado, Strawberry, and Spinach Salad","Berry, Spinach, and Avocado Smoothie"
3294.75,5,Breakfast pita pizza,Peach and Peanut Butter Snack,Red Eye Protein Parfait,Mixed Greens with Sliced Cucumber and Avocado,
3629,3,"Peanut Butter, Banana, and Oatmeal Pancakes","Toast with Pear, Ricotta, Honey, and Peanut Butter",Mocha Berry Almond Smoothie,,
3629,4,Oatmeal with Diced Fruit and Pistachios,Cherry Berry Protein Smoothie,Cool Summer Cucumber Chicken and Tomato Toss,"Chickpea, Walnut, & Cucumber Yogurt",Chicken Caesar Wraps
3629,5,Egg in a Basket,Protein Berry Crumble,Red Eye Protein Parfait,Peach and Peanut Butter Snack,
1956.5,3,Tropical Green Protein Smoothie,Guacamole on Tostada,Protein Yogurt and Blueberries,,
1956.5,4,Coconut Cinnamon Oats,Yogurt & Applesauce,Creamy Green Chia Smoothie,Spinach and Broccoli Salad,Prosciutto-Wrapped Pears with Blue Cheese
1956.5,5,Raspberry Peanut Butter Protein Smoothie,Cranberry Almond Energy Balls,Cucumber Tomato Salad with Tuna,Peanut Butter & Carrots,
2347.8,3,Breakfast Greek Yogurt Delight,Raspberry Mango Sunrise Smoothie,Turkey Hummus Wrap,,
2347.8,4,Breakfast Burrito,Apple Toast,Greek Yogurt  with Mixed Berries,Apples and Almond Butter,Trail Mix
2347.8,5,Creamy Green Chia Smoothie,Avocado Rice Cake,Sardine Salad Sandwich,Plum and Greek Yogurt Snack,
2690.19,3,Vegetable 3 Egg Scramble,Yogurt with Grapefruit & Honey,Oatmeal Banana Peanut Butter Chocolate Shake,,
2690.19,4,Peanut Butter Banana Toast,Yogurt & Banana,Chocolate peanut protein shake,Veggies with Hummus,Pinto Bean salad
2690.19,5,Protein Yogurt and Blueberries,Cantaloupe,Chocolate Almond Milk Protein Shake,"Strawberry, Melon & Avocado Salad",
3032.58,3,Seared Scallions with Poached Eggs,Cherry Berry Protein Smoothie,Peach and Blueberry Parfait,,
3032.58,4,Protein Yogurt and Blueberries,Brie cheese on bread,All American Tuna,Waldorf-ish Salad,Tuna & White Bean Salad
3032.58,5,High Protein Pancakes,Pecans,Chilled Cucumber Avocado Soup,Yogurt with Pumpkin & Cinnamon,
3374.96,3,Peanut Butter Yogurt and Oats,Bacon,Simple Ham and Lettuce Sandwich,,
3374.96,4,Post-Workout Peanut Butter Shake,Brie cheese on bread,"Greek Yogurt with Berries, Nuts, and Honey",Rice Cake with Peanut Butter and Chocolate Chips,Simple Caprese Sandwich
3374.96,5,Chia Pudding,Protein-boosted Yogurt,Blueberry Almond Butter Protein Smoothie,Easy Cucumber Lemon Salad,
3717.35,3,Strawberry Protein Shake,Peanut Butter Bagel,Mango chia seed pudding,,
3717.35,4,Scrambled Eggs with Bacon and Avocado,Cottage Cheese & Apricots,Blueberry Shake,Strawberry and Walnut Spinach Salad,Sunrise Peanut Butter Berry Protein Smoothie
3717.35,5,Microwave Vanilla Banana Oat Cake,Vanilla Walnut Blueberry Yogurt,Paleo Avocado Tuna Salad (Tuna in Oil),"Toast with Figs, Ricotta, and Honey",
1833.75,3,Peanut Butter & Banana Oatmeal,Plum and Greek Yogurt Snack,"Mango, Berry, Flax Smoothie",,
1833.75,4,Very Berry Greek Yogurt,Guacamole on Tostada,Paleo Avocado Tuna Salad (Tuna in Water),"Ginger, Apple, and Mint Green Smoothie",Grown-Up PB&J Toast
1833.75,5,"Kale, Sweet Potato, and Onion Frittata",Lemon Berry Smoothie,All American Tuna,Mixed Greens with Sliced Cucumber and Avocado,
2200.5,3,Sunrise Smoothie,Cinnamon Sugar Toast with Sea Salt,Quick Avocado Tuna Sandwich,,
2200.5,4,Scrambled Eggs and Broccoli,Peanut Butter Banana Smoothie,Lemon-Pepper Tuna Sandwich,Peanut Butter & Carrots,Honey Avocado Smoothie
2200.5,5,Peanut Butter Raspberry Oatmeal,Plum and Greek Yogurt Snack,Tuna and Avocado Wrap,Avocado Citrus Salad with Mint,
2521.41,3,"Turkey, Goat Cheese, and Spinach Omelet",Toast with Tomato and Hummus,Simple Strawberry Protein Shake,,
2521.41,4,Caramelized onion frittata,Cinnamon Apple Delight,Sunrise Peanut Butter Berry Protein Smoothie,Orange and Pomegranate Salad,Trail Mix
2521.41,5,Cheesy Scrambled Eggs,Fruit Salad,Tropical Green Protein Smoothie,Turkey and Avocado Wrap,
2842.31,3,Spicy Fried Eggs,Yogurt with Cucumber & Lox,Chocolate peanut protein shake,,
2842.31,4,"""Banana Cream Pie"" Oatmeal",Very Berry Cottage Cheese,Red Eye Protein Parfait,Hummus Chickpea Snack Sandwiches,Hummus Avocado Toast
2842.31,5,Blueberry and Sunflower Seed Steel Cut Oatmeal,"Toast with Berries, Basil & Cream Cheese",Quick Avocado Tuna Sandwich,Plum and Greek Yogurt Snack,
3163.22,3,"Breakfast Sandwich with Egg, Cheese, and Ham",Rice Cake with Peanut Butter and Chocolate Chips,Blueberry Shake,,
3163.22,4,Fried Egg Sandwich,Yogurt & Mango,Mango Protein Shake,Bean Sprout and Spinach Salad,Chocolate Avocado Smoothie
3163.22,5,Strawberry French Toast,"Rice Cake with Strawberries, Cottage Cheese, and Honey",Apple Walnut Parfait,Spinach Tomato Salad,
3484.12,3,Pumpkin Pecan Oatmeal,Camembert on Garlic Bread,Avocado Breakfast Smoothie,,
3484.12,4,Banana Mash Muscle Muffins,Oranges,Post-Workout Peanut Butter Shake,Summer Pepper and Tomato Salad,Tuna & White Bean Salad
3484.12,5,Post-Workout Banana Protein Smoothie,No-Bake Apple "Cookies","Turkey, Provolone, and Sprout Sandwich",Quick Mint Yogurt,
1799,3,Asparagus Omelet,Strawberry and Almond Butter Fruit Smoothie,Seedy Avocado Toast,,
1799,4,Ham and Leek Omelet,Toast with Tomato and Hummus,"Banana, Kale, and Avocado Smoothie",Yogurt with Walnuts & Honey,Avocado Chickpea Lettuce Wraps
1799,5,Matcha Scrambled Eggs with Lime,Cottage Cheese and Strawberry Toast,Strawberry Banana Protein Shake,Lettuce Cucumber Walnut Salad,
2158.8,3,Strawberry Protein Shake,Toast with Tomato and Hummus,Apple Walnut Parfait,,
2158.8,4,Cinnamon Swirl Pumpkin Pie Protein Pancakes,Cinnamon Sugar Toast with Sea Salt,Strawberry Protein Yogurt Smoothie,Mixed Greens with Sun-Dried Tomato Dressing,Almonds and Blueberries Yogurt Snack
2158.8,5,Banana and Berries Smoothie,Mini Avocado and Hummus Quesadilla,Quick Avocado Tuna Sandwich,Cucumber Salad,
2473.62,3,Banana Peanut Butter Chia Pudding,Yogurt with Apricot and Grapefruit,Raspberry Peanut Butter Protein Smoothie,,
2473.62,4,Sweet Potato Hash,"Rice Cake with Strawberries, Cottage Cheese, and Honey",Spicy Tuna Salad,Spicy Yogurt Dip with Carrots,Raspberry Peanut Butter Protein Smoothie
2473.62,5,Breakfast Burrito,Banana,Turkey Veggie Hummus Wrap,Bell Pepper and Hummus Snack,
2788.45,3,Spicy Avocado Toast,Yogurt & Honeydew Melon,Mocha Berry Almond Smoothie,,
2788.45,4,Spinach and Poached Egg Muffins,Protein-boosted Honey Yogurt,Turkey Veggie Hummus Wrap,Cucumber Snack Sandwiches,"Peanut Butter, Mango, and Kale Protein Smoothie"
2788.45,5,Herb Omelette with Fried Tomatoes,Blueberries,Tuna Salad  Wrap,Peanut Butter & Carrots,
3103.28,3,Blueberry Protein Oatmeal,Yogurt with Cucumber & Lox,Blueberry Shake,,
3103.28,4,Morning Salmon Salad,Protein Berry Crumble,Quick Avocado Tuna Sandwich,Peanut Butter Banana Smoothie,Blackberry Yogurt Parfait
3103.28,5,Chocolate peanut protein shake,Buttered Toast,Simple Ham and Lettuce Sandwich,Peanut Butter & Carrots,
3418.1,3,"Peanut Butter, Banana, and Oatmeal Pancakes",Yogurt with Grapefruit & Honey,Banana oatmeal smoothie,,
3418.1,4,Oat & cottage pancakes,Guacamole on Tostada,Mocha Berry Almond Smoothie,Raspberry Yogurt Parfait,Tuna & White Bean Salad
3418.1,5,Avocado Sandwich,Honey and Melon Cottage Cheese,Chocolate peanut protein shake,Yogurt & Applesauce,
2425,3,Protein Power Oats,"Flour Tortilla with Peanut Butter, Blackberries, and Honey",Blueberry Blast Smoothie,,
2425,4,The Best Keto Breakfast,Cottage Cheese & Peaches,"Berry, Spinach, and Avocado Smoothie",Asian Avocado,Hummus Avocado Toast
2425,5,Keto Mug English Muffins,Whey Chocolate Shake,Tuna & White Bean Salad,Avocado Rice Cake,
2910,3,Protein Power Oats,Rice Cake with Peanut Butter and Chocolate Chips,Tuna Mex Tuna Salad,,
2910,4,Banana Flax Pancakes,Peanut Butter Banana Smoothie,Hummus Pocket Sandwich,Yogurt with Almonds & Honey,Tuna & White Bean Salad
2910,5,Baked Eggs in Ham,"Banana, Berries, and Bittersweet Chocolate Snack",Oatmeal banana protein shake,Oranges,
3334.38,3,Pumpkin Protein Pancakes,Fruit Parfait,Turkey Hummus Wrap,,
3334.38,4,"Peanut Butter, Banana, and Oatmeal Pancakes",Oranges,Tuna Salad  Wrap,Mexican Street Corn,Chicken Celery Sticks
3334.38,5,"Pineapple, Blueberry, Bran Parfait",Protein Berry Crumble,Oatmeal banana protein shake,Pineapple & Avocado Salad,
3758.75,3,"Peanut Butter, Banana, and Oatmeal Pancakes",Yogurt with Walnuts & Honey,Barbecue tuna sandwich,,
3758.75,4,Banana Pancakes,Yogurt & Mango,Cool Summer Cucumber Chicken and Tomato Toss,Rice Cake with Peanut Butter and Chocolate Chips,Vegan Mexican Tortilla Roll Ups
3758.75,5,Dark Chocolate Banana Smoothie,Apples and Almond Butter,Protein Yogurt and Blueberries,"Strawberry, Melon & Avocado Salad",
4183.12,3,Oat & cottage pancakes,Fried Rice,Yogurt Parfait,,
4183.12,4,Blueberry Protein Oatmeal,Easy To Peel Hard-Boiled Eggs,Chocolate and Banana Kefir Smoothie,Turkey Cottage Cheese Lettuce Wrap,Simple Ham and Lettuce Sandwich
4183.12,5,Morning Green Smoothie,"Flour Tortilla with Peanut Butter, Blackberries, and Honey",Paleo Avocado Tuna Salad (Tuna in Oil),"Cinnamon, Honey, Apple Cottage Cheese",
4607.5,3,Breakfast Parfait,Broccoli Nuggets,Vanilla Banana Protein Shake,,
4607.5,4,1000 Calorie Shake,Blueberry Yogurt,Mango chia seed pudding,"Rice Cake with Strawberries, Cottage Cheese, and Honey",Tuna Apple Salad
4607.5,5,Bell Pepper Egg-In-A-Hole,Fried Rice,Peach Oatmeal Smoothie,Tomato Basil Layered Salad,
1541.5,3,Egg White Avocado & Tomato Scramble,Cheese On Toast,Yogurt with Avocado & Basil,,
1541.5,4,Grown-Up PB&J Toast,Nonfat yogurt,"Banana, Kale, and Avocado Smoothie",Tuna in Cucumber Cups,Peaches & Almond Butter on Toast
1541.5,5,Egg Mushroom Cups,Cinnamon Apple Delight,Strawberry Almond Trim Smoothie,Lebanese Fresh Thyme Tomato Salad,
1849.8,3,Peanut Butter Berry Pineapple Protein Smoothie,"Toast with Berries, Basil & Cream Cheese",Paleo Avocado Chicken Salad,,
1849.8,4,Coconut Cinnamon Oats,Plum and Greek Yogurt Snack,Tuna & White Bean Salad,Brussels Sprout Slaw,"Turkey, Ham, and Avocado on Rye"
1849.8,5,Pumpkin Protein Pancakes,"Toast with Pear, Ricotta, Honey, and Peanut Butter",Curry Tuna Salad,"Flour Tortilla with Peanut Butter, Blackberries, and Honey",
2119.56,3,Zucchini Scramble,Whey Chocolate Shake,All American Tuna,,
2119.56,4,Protein Banana Egg Pancakes,Granola,Yogurt with Avocado & Basil,"Rice Cake with Peanut Butter, Pear, and Honey",Honey Avocado Smoothie
2119.56,5,Matcha Scrambled Eggs with Lime,Cinnamon Apple Delight,Quick Avocado Tuna Sandwich,Balsamic Arugula Salad,
2389.33,3,Veggie Omelet,No-Bake Apple "Cookies",Simple Strawberry Protein Shake,,
2389.33,4,"Pineapple, Blueberry, Bran Parfait",Strawberry and Almond Butter Fruit Smoothie,Chicken and avocado salad,Carrots with Hummus,Hummus Avocado Toast
2389.33,5,Canadian Bacon Breakfast Sandwich,Yogurt with Walnuts & Honey,Creamy Green Chia Smoothie,Mediterranean Chopped Salad,
2659.09,3,Chocolate PB & Banana Protein Shake,Cinnamon Sugar Toast with Sea Salt,Apple Walnut Parfait,,
2659.09,4,Avocado Egg Bake,Yogurt & Mango,"Turkey, Ham, and Avocado on Rye",Green Bean Healthy Tuna Salad,Sardine Salad Sandwich
2659.09,5,The Best Keto Breakfast,Cottage Cheese & Peaches,"Mango, Berry, Flax Smoothie",Peach and Peanut Butter Snack,
2928.85,3,Vegetable 3 Egg Scramble,Chocolate Milk Whey Protein Shake,Barbecue tuna sandwich,,
2928.85,4,Toasted Camembert and Pear Sandwich,Yogurt with Apricot and Grapefruit,Post-Workout Peanut Butter Shake,Cucumber Apple Salad,Maple Vinaigrette Couscous Salad
2928.85,5,Mushroom Egg White Omelet,Rice Cake with Peanut Butter and Chocolate Chips,Peach and Blueberry Parfait,Avocado lettuce wrap,
2021.25,3,Greek Yogurt and Berry Parfait,Brie cheese on bread,Quick Avocado Tuna Sandwich,,
2021.25,4,Homemade Turkey McMuffins,Oranges,Turkey Veggie Hummus Wrap,Balsamic Arugula Salad,Almonds and Blueberries Yogurt Snack
2021.25,5,Post-Workout Banana Protein Smoothie,Peaches and Almond Butter on Toast,Mexican Cottage Cheese Salad,Mixed Greens with Sliced Cucumber and Avocado,
2425.5,3,Peanut Butter Raisin Oatmeal,Very Berry Cottage Cheese,Kale White Bean and Pesto Salad,,
2425.5,4,Banana and Berries Smoothie,Cream Cheese Toast,Chicken and avocado salad,Yogurt with Papaya,Trail Mix
2425.5,5,Breakfast Quesadilla,Yogurt & Applesauce,Banana Almond Shake,Spinach and Cranberry Salad,
2779.22,3,Red Eye Protein Parfait,Cinnamon Sugar Toast with Sea Salt,Sunrise Peanut Butter Berry Protein Smoothie,,
2779.22,4,Cinnamon Raisin Protein Oatmeal,Greek Yogurt and Jam Parfait,Oatmeal banana protein shake,Strawberry and Walnut Spinach Salad,Sun-Dried Tomato Turkey Rollups
2779.22,5,Multi-grain Toast with Almond Butter and Honey,Yogurt with Apricot and Grapefruit,Strawberry Protein Shake,Mixed Greens with Sliced Cucumber and Avocado,
